Id,Latitude,Longitude,On street,Zipcode,Installation Date
14332,40.8189765,-73.9520460,AMSTERDAM AV,10031,09/08/2017
14330,40.7980975,-73.9524475,MALCOLM X BLVD,10026,09/10/2018
14328,40.7916779,-73.9531238,5 AVE,10029,08/31/2018
14326,40.7939841,-73.9548196,East Drive,10029,09/16/2021
14325,40.7907872,-73.9565624,East Drive,10029,09/16/2021
14324,40.8140749,-73.9606331,LA SALLE ST,10027,09/08/2017
14323,40.8084468,-73.9647148,W 116 ST,10027,09/08/2017
14321,40.7961747,-73.9633741,MANHATTAN AV,10025,11/28/2017
14319,40.7986724,-73.9634125,COLUMBUS AV,10025,08/11/2017
14318,40.7955935,-73.9656642,COLUMBUS AV,10025,08/14/2017
14317,40.7969025,-73.9647245,COLUMBUS AV,10025,08/25/2017
14315,40.8081160,-73.9602393,AMSTERDAM AV,10027,09/08/2017
14314,40.8061704,-73.9613964,AMSTERDAM AV,10025,08/16/2017
14313,40.8028116,-73.9638509,AMSTERDAM AV,10025,12/11/2017
14271,40.8039712,-73.9682606,W 109 ST,10025,09/08/2017
14269,40.8011267,-73.9650726,AMSTERDAM AV,10025,06/11/2019
14268,40.7995746,-73.9699278,WEST END AV,10025,08/14/2017
14266,40.7966702,-73.9723092,WEST END AV,10025,08/17/2017
14264,40.8138256,-73.9619555,RIVERSIDE DR,10027,07/24/2018
14263,40.8104065,-73.9645440,RIVERSIDE DR,10027,07/24/2018
14262,40.8061496,-73.9652903,BROADWAY,10025,08/15/2017
14261,40.7965880,-73.9686578,AMSTERDAM AV,10025,09/08/2017
14256,40.8043056,-73.9668409,W 110 ST,10025,09/29/2017
14255,40.7997246,-73.9663592,AMSTERDAM AV,10025,09/29/2017
14253,40.7976866,-73.9712866,WEST END AV,10025,09/08/2017
14247,40.7782579,-73.9768988,W 74 ST,10023,08/17/2017
14246,40.8069723,-73.9374106,LEXINGTON AV,10035,10/20/2017
14245,40.8078115,-73.9413472,5 AVE,10027,10/20/2017
14244,40.8000353,-73.9406895,LEXINGTON AV,10035,12/12/2017
14243,40.7949260,-73.9331241,PLEASANT AV,10029,10/14/2017
14242,40.7908287,-73.9390400,1 AV,10029,10/14/2017
14241,40.7901128,-73.9455916,3 AV,10029,10/20/2017
14236,40.7913724,-73.9779596,W 89 ST,10024,07/24/2018
